name,amenity,longitude,latitude,health_type
Validebağ Devlet Hastanesi,hospital,29.040877743033622,41.01220159451507,hospital
Hadımköy Dr. İsmail Niyazi Kurtulmuş Hastanesi,hospital,28.619494818334093,41.15522190080645,hospital
Orion Surgery Center,hospital,28.981972113984387,41.09007212353086,other_health
Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi,hospital,28.99004167351327,41.03759135002724,hospital
Çapa Tıp Fakültesi Hastanesi,hospital,28.933917245131177,41.0167251797893,hospital
Özel Çapa Hastanesi,hospital,28.93417578138925,41.01332207969112,hospital
İstanbul Bezmialem Vakıf Üniversitesi Valide Sultan Gureba Hastanesi,hospital,28.93580515091885,41.01839939066624,hospital
Medilife Çapa Hastanesi,hospital,28.933459124094696,41.014829905788666,hospital
İstanbul Esnaf Hastanesi,hospital,28.96223086542626,41.01396577598571,hospital
İstanbul Eğitim ve Araştırma Hastanesi,hospital,28.93804535325536,41.003258344679786,hospital
SBÜ Sultan Abdülhamid Han Eğitim ve Araştırma Hastanesi,hospital,29.02097826754317,41.00119562010951,hospital
Şişli Etfal Eğitim ve Araştırma Hastanesi,hospital,28.99069323195136,41.05785907463875,hospital
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi,hospital,29.022857739959964,41.00491606239202,hospital
Dr. Lütfi Kırdar Kartal Eğitim ve Araştırma Hastanesi,hospital,29.173552201738698,40.91547682798914,hospital
Okmeydanı Profesör Doktor Cemil Taşçıoğlu Şehir Hastanesi,hospital,28.9749745150814,41.06472920962048,hospital
Göztepe Prof. Dr. Süleyman Yalçın Şehir Hastanesi,hospital,29.05685453081105,40.98633813904807,hospital
Maltepe Üniversitesi Hastanesi,hospital,29.13514796059067,40.92552174921144,hospital
Acıbadem International Hospital,hospital,28.835518477743797,40.95888617624231,other_health
Fransız Lape Hastanesi,hospital,28.99057951189673,41.06189962731797,hospital
Erenköy Polikliniği,hospital,29.07639392748856,40.97215198633679,other_health
Fatih Sultan Mehmet Eğitim ve Araştırma Hastanesi,hospital,29.1048682948531,40.97098839206228,hospital
Yeditepe Üniversitesi Kozyatağı Hastanesi,hospital,29.10352226502524,40.968887090273626,hospital
Avicenna Hastanesi,hospital,29.108622000000004,40.9793026,hospital
Kolan Hospital-Beylikdüzü,hospital,28.62959134201721,41.006606152102734,other_health
Erenköy Ruh ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,hospital,29.088618031024115,40.974977576749474,hospital
Emsey Hastanesi,hospital,29.28886181501014,40.92368575441379,hospital
Haydarpaşa Numune Hastanesi Yeldeğirmeni Semt Polikliniği,hospital,29.02900909568512,40.99307082441632,hospital
Fatih Medical Park Hastanesi,hospital,28.952268517141377,41.01479902151175,hospital
Esenyurt Necmi Kadıoğlu Devlet Hastanesi,hospital,28.66838314753684,41.02863804255712,hospital
Büyükçekmece Devlet Hastanesi Gürpınar Poliklinikleri,hospital,28.607599640897213,40.99646238603989,clinic_dental
İstanbul Tıp Merkezi,hospital,28.999195730181228,41.07106448297056,clinic_dental
Karakoy Sahil Saglik Denetleme Merkezi,hospital,28.97661445945221,41.02203199599985,other_health
Özel Gazi Hastanesi,hospital,28.8985903013395,41.10101485850736,hospital
Florence Nightingale Hastanesi,hospital,29.04171228813457,40.98162725360874,hospital
Dünyagöz,hospital,29.04800336335727,40.97684257989029,other_health
Esenyurt Devlet Hastanesi (Ek Binası),hospital,28.68302207801807,41.03250012707037,hospital
Tepe Özel Kliniği,hospital,29.061566560195665,41.03652547481847,other_health
Erenköy Fizik Tedavi ve Rehabilitasyon Hastanesi,hospital,29.083683009678573,40.97484035260566,hospital
